Debug playlist owners for account: Sanath Kumar N (id: 313tg2pftdoulzdr7eoklsdbtmo4)
Total playlists returned by API: 90

idx  tracks  is_owner  owner_id                              owner_display_name                        playlist_name
 57     29      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Kannada
 58     35      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Local
 59     28      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          English classics
 60     63      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Temp
 61     49      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Hindi
 62    326     False  '21pci7wj2wbkvba2fnvppghdq'           'Sebastien Madoe'                         Into the wild
 63     17     False  '11185383380'                         'Lucy Stacey'                             dark country 2
 64     58     False  'zoe-blu'                             'Zoe-Blu Shantos'                         Introspection Selection
 65     63     False  'samyyp'                              'chronic 1992'                            Ice Cube: Greatest Hits
 66     40     False  'jacree1021'                          'jacree1021'                              Battleme — Lights - from Sons of Anarchy
 67    169     False  'vcq5rlpj3sh1w64rxp8gq6m1a'           'vedha reddy'                             are you bored yet?
 68     41     False  '31pzjlbfksctml7x7an4mjz6isfm'        'Mohita Joshi'                            Tanha Dil
 69     29     False  'lalalalalalacha'                     'gabrielle 🌿🌱'                            eleanor rigby - cody fry
 70     19     False  'hozierb'                             'Hozier'                                  HOZIER picks: Spirituals
 71     79     False  'aaek3z0do6qq51twbtmqyn68i'           'Neeza 👾'                                 Enemies to Lovers
 72    166     False  'sepviraanditha'                      'sepv'                                    To Build A Home
 73    127     False  'eoswan01'                            'eoswan01'                                Rock On
 74     10     False  'zevi2b5208q0bd7h4gqowpyuc'           'M‘N'                                     Soldiers Eyes 👀 
 75      8     False  'tcampb35'                            'Snert'                                   The White Buffalo — House of the Rising Sun - Season 4 Finale Version
 76     60      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          SS4(Hindi mass)
 77     73      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          SS3(kannada mass and classics)
 78    104      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          SS2[english-childhood]
 79     44      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          SS1[hindi-childhood]
 80     87     False  'jeannemarie221b'                     'jeanne'                                  lorde and hozier thats it
 81     37     False  'pracastic'                           'Pratik Jadhav'                           Sad boi hours 🌙
 82    102     False  'pracastic'                           'Pratik Jadhav'                           This love is killing me🌙
 83    113     False  'pracastic'                           'Pratik Jadhav'                           Oh love 🌙
 84    149     False  'pracastic'                           'Pratik Jadhav'                           Dark Academia 🌙
 85      6     False  '1nb6japv3sbi20r1di9jj8yfj'           'Kavya'                                   Mundina nildhana ❤️
 86      8     False  'x1vmvh30yhr4utic4l5fxo2ms'           'Shiv'                                    BLUE & PINK - Jaden Smith
 87     18     False  '21g2s75ve4zeouc4dlaegrcha'           'Carolina Rocha'                          Mumford and Sons Baba Maal 🍁🍂
 88    119     False  '317trm7kxyu6gluucdxxmqvpvzzi'        'Ranveer Allahbadia'                      BeerBiceps will calm you.
 89    123     False  '21ps3v4c5il27v4dihiklqspq'           '21ps3v4c5il27v4dihiklqspq'               
 90     32     False  'lindsm1237'                          'lindsm1237'                              that tunnel scene from the perks of being a wallflower
